Название;Полное наименование;Лицензия НБУ;Дата регистрации;МФО;Код ЕГРПОУ;Адрес главного офиса;Вебсайт;Контакт-центр;Е-мейл;Статус;Акционеры банка;Капитал;Дополнительная информация
Аккордбанк;"Публичное акционерное общество ""Коммерческий банк ""Аккордбанк""";245 от 07.11.2011;04.06.2008;380634;35960913;;;;;;;Частный украинский;
Банк столичный;;;;;;;;;;Ликвидация;;;
Банк Богуслав;"Публичное акционерное общество ""Банк Богуслав""";231 от 02.11.2011;04.08.2006;380322;34540113;;;;;;;Частный украинский;
Укоопсоюз;;;;;;;;;;Ликвидация;;;
Инвестбанк;;;;;;;;;;Ликвидация;;;
Профин банк;;;;;;;;;;Ликвидация;;;
Артем-Банк;;;;;;;;;;Ликвидация;;;
Мотор-Банк;"Публичное акционерное общество ""Мотор-Банк""";238 от 11.11.2011;10.08.2007;313009;35345213;;;;;;;Частный украинский;
Альтбанк (Неос банк);"Публичное акционерное общество ""Альтабанк""";106 от 24.11.2016;21.10.1991;320940;19358784;;;;;;;Частный украинский;
Укрстройинвестбанк;"Публичное акционерное общество ""Украинский Строительно-Инвестиционный Банк""";213 от 15.11.2011;20.04.2004;380377;26547581;;;;;;;Частный украинский;
Поликомбанк;"Публичное акционерное общество ""ПОЛИКОМБАНК""";152 от 07.11.2011;18.08.1994;353100;19356610;;;;;;;Частный украинский;
Украинский капитал;Публичное акционерное общество «Банк «Украинский капитал»;26 от 01.11.2011;25.12.1992;320371;22868414;;;;;;;Частный украинский;
Радабанк;ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО «АКЦИОНЕРНЫЙ БАНК «РАДАБАНК»;166 от 14.11.2011;03.12.1993;306500;21322127;;;;;;;Частный украинский;
Банк Авангард;Публичное акционерное общество «БАНК АВАНГАРД»;269 от 05.07.2013;05.07.2013;380946;38690683;;;;;;;Частный украинский;
Порто-Франко;;;;;;;;;;Ликвидация;;;
Асвио банк;Публичное акционерное общество «АСВИО БАНК»;133 от 16.11.2011;30.10.1991;353489;9809192;;;;;;;Частный украинский;
Банк Демарк;;;;;;;;;;Ликвидация;;;
Регион-банк;"Публичное акционерное общество ""РЕГИОН-БАНК""";32 от 07.11.2011;28.10.1991;351254;9620081;;;;;;;Частный украинский;
